Species Name,Taxonomy ID,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Acetobacter ascendens,481146,,,,,,,,,,,,,,,,,,0.31,0.2975,0.295,0.29
Acetobacter oryzifermentans,1633874,,,,,,,,,,,,,,,,,,0.41,0.20500000000000002,0.015,0.015
Acetobacter pasteurianus,438,,,,,,,,,,,0.9212,0.9207000000000001,0.9153,0.9149,0.9259000000000001,0.9249,0.9342,0.9167,0.9584999999999999,0.9564999999999999,0.9564999999999999
Acetobacter pomorum,65959,,,,,,,,,,,,,,,,,,,0.06,0.035,0.035
Acholeplasma laidlawii,2148,,,,,,,,,0.99,0.98,0.96,0.94,0.91,0.89,0.88,0.82,0.75,0.7,0.68,0.625,0.615
Achromobacter denitrificans,32002,,,,,,,,,,,,,,,,,,0.0,0.08666666666666667,0.10333333333333333,0.09999999999999999
Achromobacter insolitus,217204,,,,,,,,,,,,,,,,,,,0.29000000000000004,0.5733333333333334,0.5633333333333334
Achromobacter spanius,217203,,,,,,,,,,,,,,,,,,,0.135,0.25499999999999995,0.35000000000000003
Achromobacter xylosoxidans,85698,,,,,,,,,,,,0.07666666666666667,0.051666666666666666,0.04,0.03833333333333333,0.02,0.22041666666666668,0.14875000000000002,0.14416666666666667,0.4320833333333334,0.42666666666666664
Acidipropionibacterium acidipropionici,1748,,,,,,,,,,,,,,0.6216666666666667,0.5433333333333333,0.4633333333333333,0.6112500000000001,0.85375,0.88875,0.9299999999999999,0.92625
Acidipropionibacterium jensenii,1749,,,,,,,,,,,,,,,,,,,,0.185,0.52
Acidithiobacillus caldus,33059,,,,,,,,,,,,,0.75,0.73,0.69,0.6275,0.595,0.53,0.53,0.5925,0.5925
Acidovorax carolinensis,553814,,,,,,,,,,,,,,,,,,,0.7425,0.7125,0.71
Acidovorax citrulli,80869,,,,,,,,,0.9,0.84,0.84,0.82,0.78,0.77,0.66,0.52,0.41,0.35,0.31,0.28,0.275
