Published_Year,Assembly_Accession,Organism_Name,Species,Genus,Family,Order,Class,Phylum
1999,GCF_000008525.1,Helicobacter pylori 26695,210,209,72293,213849,29547,1224
1999,GCF_000027305.1,Haemophilus influenzae Rd KW20,727,724,712,135625,1236,1224
1999,GCF_000008625.1,Aquifex aeolicus VF5,63363,2713,64898,32069,187857,200783
1999,GCF_000008745.1,Chlamydia pneumoniae CWL029,83558,810,809,51291,204429,204428
2000,GCF_000008565.1,Deinococcus radiodurans R1,1299,1298,183710,118964,188787,1297
2001,GCF_000008785.1,Helicobacter pylori J99,210,209,72293,213849,29547,1224
2001,GCF_000006745.1,Vibrio cholerae O1 biovar El Tor str. N16961,666,662,641,135623,1236,1224
2001,GCF_000006825.1,Pasteurella multocida subsp. multocida str. Pm70,747,745,712,135625,1236,1224
2001,GCF_000008725.1,Chlamydia trachomatis D/UW-3/CX,813,810,809,51291,204429,204428
2001,GCF_000006865.1,Lactococcus lactis subsp. lactis Il1403,1358,1357,1300,186826,91061,1239
2001,GCF_000008545.1,Thermotoga maritima MSB8,2336,2335,188709,2419,188708,200918
2001,GCF_000007125.1,Brucella melitensis bv. 1 str. 16M,29459,234,118882,356,28211,1224
2002,GCF_000007365.1,Buchnera aphidicola str. Sg (Schizaphis graminum),9,32199,1903409,91347,1236,1224
2002,GCF_000007145.1,Xanthomonas campestris pv. campestris str. ATCC 33913,339,338,32033,135614,1236,1224
2002,GCF_000007165.1,Xanthomonas citri pv. citri str. 306,346,338,32033,135614,1236,1224
2002,GCF_000007445.1,Escherichia coli CFT073,562,561,543,91347,1236,1224
2002,GCF_000006645.1,Yersinia pestis KIM10+,632,629,1903411,91347,1236,1224
2002,GCF_000007025.1,Rickettsia conorii str. Malish 7,781,780,775,766,28211,1224
2002,GCF_000007325.1,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,851,848,203492,203491,203490,32066
2002,GCF_000006985.1,Chlorobaculum tepidum TLS,1097,256319,191412,191411,191410,1090
2002,GCF_000007645.1,Staphylococcus epidermidis ATCC 12228,1282,1279,90964,1385,91061,1239
2002,GCF_000007265.1,Streptococcus agalactiae 2603V/R,1311,1301,1300,186826,91061,1239
2002,GCF_000007045.1,Streptococcus pneumoniae R6,1313,1301,1300,186826,91061,1239
2002,GCF_000007285.1,Streptococcus pyogenes MGAS8232,1314,1301,1300,186826,91061,1239
2002,GCF_000007425.1,Streptococcus pyogenes MGAS315,1314,1301,1300,186826,91061,1239
2002,GCF_000008765.1,Clostridium acetobutylicum ATCC 824,1488,1485,31979,186802,186801,1239
2002,GCF_000027345.1,Mycoplasma pneumoniae M129,2104,2093,2092,2085,31969,544448
2002,GCF_000006905.1,Caulobacter vibrioides CB15,155892,75,76892,204458,28211,1224
2002,GCF_000007085.1,Caldanaerobacter subterraneus subsp. tengcongensis MB4,911092,249529,186814,68295,186801,1239
2003,GCF_000007725.1,Buchnera aphidicola str. Bp (Baizongia pistaciae),9,32199,1903409,91347,1236,1224
2003,GCF_000009085.1,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,197,194,72294,213849,29547,1224
2003,GCF_000009125.1,Ralstonia solanacearum GMI1000,305,48736,119060,80840,28216,1224
2003,GCF_000006965.1,Sinorhizobium meliloti 1021,382,28105,82115,356,28211,1224
2003,GCF_000009105.1,Neisseria meningitidis Z2491,487,482,481,206351,28216,1224
2003,GCF_000195675.1,Bordetella bronchiseptica RB50,518,517,506,80840,28216,1224
2003,GCF_000195695.1,Bordetella parapertussis 12822,519,517,506,80840,28216,1224
2003,GCF_000195715.1,Bordetella pertussis Tohama I,520,517,506,80840,28216,1224
2003,GCF_000007705.1,Chromobacterium violaceum ATCC 12472,536,535,1499392,206351,28216,1224
2003,GCF_000009065.1,Yersinia pestis CO92,632,629,1903411,91347,1236,1224
