Genus, V1, V2, V3, V4, V5, V6, V7, V8, V9
Candidatus Udaeobacter,6.371217059069957e-05,0.0001706349354678361,0.992649176302726,0.001401453604459041,0.00024018773140135509,0.003133731685702994,0.00038155563878921933,0.00024312970914996818,0.0017081261783074416
Parabacteroides,5.143011813944661e-07,0.010777405647946953,0.044503373816127484,0.9445273052469653,3.407003121873234e-07,0.00015359395000408646,2.1790561640489397e-06,1.3301202634992773e-05,2.1975046924431438e-05
Porphyromonas,2.4780469939229985e-07,2.8690995888065244e-06,0.050833449883926934,0.9490596385848351,4.6448199856278005e-07,1.3489188614344375e-06,2.4514743877042644e-06,9.610465500223405e-05,3.4123509634108332e-06
Bacillus,0.047840173207820406,0.1631990367969323,0.017996857146293392,0.7701294940292122,0.0007642236754185804,2.3447568150611347e-05,1.3436457062439767e-05,1.27594601290062e-05,7.000380890184701e-06
Faecalibaculum,9.301701379271695e-08,1.054772859487533e-06,0.02197896694393359,0.9779850243471869,1.423778753880152e-05,6.230819056137635e-06,1.0016048757869816e-05,4.29158380558856e-06,7.646498698695593e-08
Devosia,5.972676914742372e-07,4.0990553633904214e-06,0.0026181472675736216,0.9973109374573048,3.0422126393583827e-06,3.7364149990766537e-06,3.1620332165439114e-06,5.529043409604366e-05,8.817390102951201e-07
[Ruminococcus] gauvreauii group,1.2266668970218252e-08,4.030176823030352e-07,0.10932099526213877,0.8906764666095567,7.242696382553707e-07,3.64967196155957e-07,9.729961127202725e-07,5.8760196574061937e-08,1.6643650243986688e-09
Epulopiscium,5.339370058405524e-06,7.353820891884722e-06,0.1278069543058882,0.8721791483485923,5.872923995277197e-07,4.871074251732118e-07,3.679313527119251e-08,7.621737994411221e-08,1.446881832088655e-08
[Eubacterium] coprostanoligenes group,1.4702198522144825e-05,0.00470502660338449,0.15332132640879265,0.8418536041026121,2.4928658309531656e-06,1.2880993221659239e-05,3.6075551797354516e-05,5.350731111651441e-05,3.6617550131700727e-07
Geobacter,6.172938177482129e-07,3.757809149120438e-05,0.018268542453327166,0.9816825491371982,7.540449020496367e-06,5.932202783020415e-07,7.325249435883523e-07,7.685994614814088e-07,1.0378637720191532e-06
Sphaerochaeta,2.047651585205102e-08,4.555324740473383e-06,0.024995628900733955,0.9749856186704696,1.1837223172785679e-05,1.0376737082123492e-06,2.561936091322107e-07,7.22049460667449e-07,3.21714088845169e-07
Faecalibacterium,1.0329151889219977e-07,0.008059756686421409,0.8800296548439879,0.11190336499117097,4.678903174894256e-06,4.045311661520253e-07,1.6204567837802328e-06,4.0051557055037333e-07,8.118001010955507e-09
Mycobacterium,1.6574553405775643e-05,0.00011481404446493414,0.023163292612278136,0.9759929469229695,0.00015026302023456316,0.00035341143101165284,2.603131663249836e-05,9.49463882925211e-05,8.570085885047234e-05
Granulicatella,1.0811927038257705e-07,1.5213896858200978e-06,0.02390223352346238,0.9760952730143654,3.382115955783263e-07,4.0900584591650836e-08,3.368104877594766e-08,2.789448768346967e-07,1.589586837905959e-07
Fusobacterium,1.0971425978977745e-08,6.81291496956127e-07,0.005314838027051965,0.9946812329800158,2.2192818533736487e-08,5.948502864287169e-08,2.98339901711402e-07,2.751874291736009e-06,1.0465875759531003e-07
Sulfurospirillum,3.81404732825448e-06,0.0016144189499095584,0.9906642063117592,0.0077144047849338334,4.863408790243015e-07,5.72423890957736e-07,9.154660491895716e-07,1.095385783734416e-06,1.1006028543469202e-08
Bradyrhizobium,3.484419154292646e-05,0.00010435593300513776,0.0012300855801460307,0.998421581832201,3.0996389195225905e-05,2.2315119690254058e-05,4.599728756296278e-05,9.993505208717451e-05,5.196132709422224e-06
Reyranella,6.260604229971919e-07,1.0411753073083997e-05,0.038473202455325754,0.9614838984089321,3.181602246844277e-07,4.334997063977069e-07,1.2779415862396802e-06,2.9782619997991522e-05,2.08983078058091e-08
Streptococcus,4.359505326171462e-08,5.919963093719036e-07,0.0024534842888075726,0.9975422241012818,3.758644419932619e-07,1.6067061696440676e-07,4.4601162570865474e-08,1.959505600512421e-06,1.1139947196290118e-06
Blautia,5.16779535125295e-09,1.017824816866529e-06,0.0629902707638998,0.9370079305883566,3.115865005538353e-07,6.310403795516624e-08,2.808341329404968e-07,1.1891610770279362e-07,9.688420510329653e-10
Psychrobacter,0.017301472937037904,0.342052834525369,0.6312901941737484,0.009193374851459166,2.4124788960932662e-06,5.2664346512958564e-06,1.7708020940239992e-06,0.0001336450328459544,1.8363806159431196e-05
Prevotellaceae UCG-004,1.4321118237904648e-09,1.9295548174064142e-07,0.02710522502154736,0.9728927963372512,1.0992150048592895e-08,3.640950673538959e-09,2.0060558293839016e-08,1.517355146400235e-06,2.320793135856017e-07
Altererythrobacter,3.3558594944644093e-05,0.00023525014778013516,0.036516280381397766,0.9554990513725073,0.0075485204612526025,2.5954533549709733e-05,2.0279838066709e-05,4.0285828465465336e-05,7.89083176415738e-05
Ruminococcaceae NK4A214 group,6.168812509370063e-07,1.811691002458169e-06,0.16038120790288504,0.8396158889004145,6.597030143384287e-08,7.53190394734266e-08,1.29159184423109e-07,1.960150974744948e-07,5.716900796115733e-09
Paenibacillus,0.00034867312196459806,0.00011673574612983131,0.0054354517820272286,0.9940668718888018,8.629658541111508e-06,4.470232263503279e-06,1.1257715391878726e-06,1.1132017113508115e-05,6.849742501676283e-06
Marinobacter,0.002123696937079517,0.3172781748921481,0.12138793974354231,0.5591799711087267,8.732619378151746e-06,2.2533346956616596e-06,1.3817668455624252e-06,1.4358139170017358e-05,3.110978737008903e-06
Pseudarthrobacter,1.7795858285570437e-07,5.038544969119372e-07,3.0998043634089265e-05,0.9999594257225449,3.3387371614282637e-07,5.133328314242433e-07,4.319425353692119e-07,2.345504760764194e-06,5.2604976717949646e-06
Sphingomonas,9.97496591523522e-06,0.002562482509533664,0.10907211146138136,0.8883452211725295,5.970804603931889e-06,6.768275514263301e-07,3.37099916026792e-07,1.976953074705698e-06,1.196767811169702e-06
Rhizobacter,4.1402661823828204e-07,8.722836168733899e-06,0.1515355005390214,0.8484539992720632,1.5448886673205886e-07,8.876592186915616e-08,1.341571697412666e-07,7.993101070630621e-07,1.4581834276921488e-07
